timestamp,open,high,low,close,volume
2026-01-28 20:45:00+00:00,125.915,125.915,125.467,125.486,58.178542
2026-01-28 21:00:00+00:00,125.486,125.651,124.732,125.46,216.126848
2026-01-28 21:15:00+00:00,125.46,125.727,125.451,125.589,6.757154
2026-01-28 21:30:00+00:00,125.589,125.589,125.151,125.531,503.758553
2026-01-28 21:45:00+00:00,125.531,125.739,125.345,125.645,195.256392
2026-01-28 22:00:00+00:00,125.645,125.73,125.369,125.369,25.795612
2026-01-28 22:15:00+00:00,125.369,125.417,125.101,125.417,95.547417
2026-01-28 22:30:00+00:00,125.417,125.651,125.417,125.645,25.766347
2026-01-28 22:45:00+00:00,125.645,125.765,125.524,125.566,12.557073
2026-01-28 23:00:00+00:00,125.566,125.595,125.409,125.482,37.843617
2026-01-28 23:15:00+00:00,125.482,125.559,125.23,125.243,18.498292
2026-01-28 23:30:00+00:00,125.243,125.243,125.0,125.146,46.472389
2026-01-28 23:45:00+00:00,125.146,125.331,125.109,125.331,5.165181
2026-01-29 00:00:00+00:00,125.331,125.402,125.0,125.129,64.593283
2026-01-29 00:15:00+00:00,125.129,125.129,125.0,125.0,310.144453
2026-01-29 00:30:00+00:00,125.0,125.012,124.727,124.758,728.007347
2026-01-29 00:45:00+00:00,124.758,125.017,124.758,125.017,45.978032
2026-01-29 01:00:00+00:00,125.017,125.235,125.001,125.049,2.939329
2026-01-29 01:15:00+00:00,125.049,125.049,124.248,124.831,83.970672
2026-01-29 01:30:00+00:00,124.831,124.831,124.428,124.558,34.364461
2026-01-29 01:45:00+00:00,124.558,124.764,124.291,124.302,5.416833
2026-01-29 02:00:00+00:00,124.302,124.854,124.3,124.514,19.521549
2026-01-29 02:15:00+00:00,124.514,124.602,124.154,124.602,17.600665
2026-01-29 02:30:00+00:00,124.602,124.602,123.327,123.956,388.385126
2026-01-29 02:45:00+00:00,123.956,123.956,123.113,123.408,567.832627
2026-01-29 03:00:00+00:00,123.408,123.637,123.408,123.623,3.046195
2026-01-29 03:15:00+00:00,123.623,123.623,122.781,122.846,943.351824
2026-01-29 03:30:00+00:00,122.846,123.004,122.718,122.991,220.972477
2026-01-29 03:45:00+00:00,122.991,123.193,122.878,123.073,152.578549
2026-01-29 04:00:00+00:00,123.073,123.073,122.633,122.633,67.08971
2026-01-29 04:15:00+00:00,122.633,122.925,122.607,122.875,26.41239
2026-01-29 04:30:00+00:00,122.875,123.149,122.875,123.149,11.321294
2026-01-29 04:45:00+00:00,123.149,123.472,123.149,123.327,11.145209
2026-01-29 05:00:00+00:00,123.327,123.618,123.327,123.523,8.006591
2026-01-29 05:15:00+00:00,123.523,123.696,123.448,123.599,10.737819
2026-01-29 05:30:00+00:00,123.599,123.695,123.495,123.695,23.977783
2026-01-29 05:45:00+00:00,123.695,123.695,123.089,123.215,22.478766
2026-01-29 06:00:00+00:00,123.215,123.322,123.021,123.099,67.274861
2026-01-29 06:15:00+00:00,123.099,123.403,123.099,123.296,32.461973
2026-01-29 06:30:00+00:00,123.296,123.597,123.296,123.571,76.807945
2026-01-29 06:45:00+00:00,123.571,123.648,123.571,123.648,1.050125
2026-01-29 07:00:00+00:00,123.648,123.741,123.648,123.741,4.339979
2026-01-29 07:15:00+00:00,123.741,123.864,123.533,123.741,102.597642
2026-01-29 07:30:00+00:00,123.741,123.8,123.586,123.76,0.595056
