timestamp,open,high,low,close,volume
2026-01-28 20:45:00+00:00,89127.22,89127.22,88871.0,88990.89,2.0574566
2026-01-28 21:00:00+00:00,88990.89,89073.94,88694.72,89035.25,6.24734675
2026-01-28 21:15:00+00:00,89035.25,89142.61,89002.09,89035.83,0.56076917
2026-01-28 21:30:00+00:00,89035.83,89352.6,88927.06,89270.44,1.8662056
2026-01-28 21:45:00+00:00,89270.44,89329.0,89188.54,89270.35,0.16337875
2026-01-28 22:00:00+00:00,89270.35,89347.02,89125.14,89157.4,0.58034109
2026-01-28 22:15:00+00:00,89157.4,89157.4,89010.0,89140.89,0.180693
2026-01-28 22:30:00+00:00,89140.89,89168.5,89068.19,89115.32,2.71295481
2026-01-28 22:45:00+00:00,89115.32,89264.58,89115.32,89264.56,1.26056324
2026-01-28 23:00:00+00:00,89264.56,89316.68,89206.61,89209.84,0.75364245
2026-01-28 23:15:00+00:00,89209.84,89338.52,89132.01,89182.01,1.03200973
2026-01-28 23:30:00+00:00,89182.01,89189.36,89071.01,89155.09,0.44391849
2026-01-28 23:45:00+00:00,89155.09,89264.43,89090.5,89147.33,1.80983459
2026-01-29 00:00:00+00:00,89147.33,89197.62,88950.29,88950.29,2.88748714
2026-01-29 00:15:00+00:00,88950.29,89014.34,88876.97,88891.03,3.35352973
2026-01-29 00:30:00+00:00,88891.03,89001.32,88827.18,88827.18,1.45397047
2026-01-29 00:45:00+00:00,88827.18,89000.11,88763.2,89000.11,0.75059736
2026-01-29 01:00:00+00:00,89000.11,89019.71,88888.0,88975.56,0.8190345
2026-01-29 01:15:00+00:00,88975.56,88975.56,88500.0,88715.12,1.06086032
2026-01-29 01:30:00+00:00,88715.12,88746.36,88604.39,88707.64,0.56146303
2026-01-29 01:45:00+00:00,88707.64,88752.73,88405.99,88450.14,2.30933649
2026-01-29 02:00:00+00:00,88450.14,88588.52,88337.36,88535.36,0.93545114
2026-01-29 02:15:00+00:00,88535.36,88587.89,88429.04,88482.67,0.79303075
2026-01-29 02:30:00+00:00,88482.67,88482.67,87917.09,88003.28,4.15275133
2026-01-29 02:45:00+00:00,88003.28,88003.28,87573.5,87745.12,6.68814281
2026-01-29 03:00:00+00:00,87745.12,88121.47,87638.0,87946.35,5.43082973
2026-01-29 03:15:00+00:00,87946.35,88050.44,87879.14,87891.34,1.81103399
2026-01-29 03:30:00+00:00,87891.34,87979.99,87808.28,87960.73,0.33015889
2026-01-29 03:45:00+00:00,87960.73,88018.68,87855.8,87915.21,0.26607524
2026-01-29 04:00:00+00:00,87915.21,87947.56,87828.79,87832.92,0.16358094
2026-01-29 04:15:00+00:00,87832.92,87928.86,87761.04,87928.86,0.48417994
