2025-10-17T14:05:26.174177,2025-10-17T14:07:26.174177,0.3261702358722687,184.722,-0.1,gated
2025-10-17T14:10:25.450012,2025-10-17T14:12:25.450012,0.19454622268676758,185.226,-0.1,gated
2025-10-17T14:12:30.300514,2025-10-17T14:14:30.300514,0.4673703610897064,185.455,-0.1,gated
2025-10-17T14:14:34.992675,2025-10-17T14:16:34.992675,0.03944452852010727,186.084,-0.03605287016632872,gated
2025-10-17T14:16:39.733065,2025-10-17T14:18:39.733065,-1.0642328262329102,185.695,-0.1,gated
2025-10-17T14:18:45.686905,2025-10-17T14:20:45.686905,-0.5837368965148926,185.5,-0.1,gated
2025-10-17T14:20:50.398646,2025-10-17T14:22:50.398646,-1.3446521759033203,185.224,-0.1,gated
2025-10-17T14:22:55.250520,2025-10-17T14:24:55.250520,-1.5331016778945923,185.495,-0.1,gated
2025-10-17T14:24:59.912653,2025-10-17T14:26:59.912653,-1.497274398803711,185.245,-0.1,gated
2025-10-17T14:27:04.473980,2025-10-17T14:29:04.473980,-1.9333257675170898,185.265,-0.1,gated
2025-10-17T14:29:08.980954,2025-10-17T14:31:08.980954,-2.1220555305480957,185.206,-0.1,gated
2025-10-17T14:31:13.792710,2025-10-17T14:33:13.792710,-2.3249855041503906,184.97,-0.1,gated
2025-10-17T14:33:18.483980,2025-10-17T14:35:18.483980,-2.335611581802368,185.022,-0.1,gated
2025-10-17T14:35:23.366903,2025-10-17T14:37:23.366903,-2.441849946975708,184.831,-0.1,gated
2025-10-17T14:37:28.117211,2025-10-17T14:39:28.117211,-2.8443915843963623,185.266,-0.1,gated
2025-10-17T14:39:32.732279,2025-10-17T14:41:32.732279,-3.0277271270751953,185.353,-0.1,gated
2025-10-17T14:41:37.522997,2025-10-17T14:43:37.522997,-3.2274515628814697,185.142,-0.1,gated
2025-10-17T14:43:42.186871,2025-10-17T14:45:42.186871,-3.3309128284454346,185.472,-0.1,gated
2025-10-17T14:45:46.844578,2025-10-17T14:47:46.844578,-3.4863815307617188,185.383,-0.1,gated
2025-10-17T14:47:51.538157,2025-10-17T14:49:51.538157,-3.6487197875976562,185.344,-0.1,gated
2025-10-17T14:49:56.100197,2025-10-17T14:51:56.100197,-3.8993172645568848,185.2,-0.1,gated
2025-10-17T14:52:00.711380,2025-10-17T14:54:00.711380,-3.9032700061798096,185.425,-0.1,gated
2025-10-17T14:54:05.268886,2025-10-17T14:56:05.268886,-3.811763048171997,185.511,-0.1,gated
2025-10-17T14:56:09.933991,2025-10-17T14:58:09.933991,-3.962254762649536,185.572,-0.1,gated
2025-10-17T14:58:14.596390,2025-10-17T15:00:14.596390,-4.329700469970703,185.545,-0.1,gated
2025-10-17T15:00:19.519686,2025-10-17T15:02:19.519686,-4.512345314025879,185.742,-0.1,gated
2025-10-17T15:02:24.348881,2025-10-17T15:04:24.348881,-4.704755783081055,185.813,-0.1,gated
2025-10-17T15:04:29.093941,2025-10-17T15:06:29.093941,-4.790646076202393,185.736,-0.1,gated
2025-10-17T15:06:33.860527,2025-10-17T15:08:33.860527,-4.9058380126953125,185.452,-0.1,gated
2025-10-17T15:08:38.528261,2025-10-17T15:10:38.528261,-5.058299541473389,184.577,-0.1,gated
2025-10-17T15:10:43.157252,2025-10-17T15:12:43.157252,-4.972168445587158,184.816,-0.1,gated
2025-10-17T15:12:47.829989,2025-10-17T15:14:47.829989,-5.260228633880615,184.409,-0.1,gated
